iter	RMSE
0	1.25820339
1	1.256567538
2	1.254922752
3	1.253252012
4	1.251597298
5	1.249940893
6	1.248424582
7	1.246795274
8	1.245204601
9	1.243822027
10	1.242234479
11	1.240725108
12	1.239171073
13	1.237631798
14	1.236134674
15	1.234517756
16	1.232954737
17	1.231338891
18	1.229653622
19	1.228113265
20	1.226452373
21	1.224908619
22	1.223296745
23	1.221785443
24	1.220277096
25	1.218696183
26	1.217132814
27	1.215614825
28	1.214026608
29	1.212412592
30	1.210993983
31	1.209526191
32	1.208035298
33	1.20643679
34	1.204979665
35	1.203506636
36	1.202025156
37	1.200617032
38	1.199134188
39	1.197602964
40	1.19630402
41	1.194870091
42	1.1933496
43	1.191808001
44	1.190361577
45	1.188918111
46	1.18744418
47	1.185948164
48	1.184519567
49	1.183023825
50	1.181575692
51	1.180064698
52	1.178617007
53	1.17717572
54	1.175733667
55	1.174330901
56	1.172956188
57	1.171541391
58	1.170180158
59	1.168766779
60	1.16735909
61	1.165903733
62	1.164526024
63	1.163126064
64	1.161760557
65	1.1602968
66	1.158875455
67	1.157531264
68	1.156210731
69	1.154816434
70	1.153352726
71	1.151989418
72	1.150634515
73	1.149313502
74	1.147869582
75	1.146396977
76	1.145029622
77	1.143736364
78	1.142522768
79	1.141197033
80	1.139746953
81	1.138549964
82	1.137425456
83	1.136090806
84	1.134793331
85	1.133496254
86	1.132126802
87	1.130802754
88	1.129426472
89	1.128063531
90	1.126858338
91	1.125552866
92	1.12429757
93	1.122980442
94	1.121773323
95	1.120530291
96	1.11924063
97	1.117942743
98	1.116609825
99	1.11531876
100	1.114064474
101	1.112684793
102	1.111435332
103	1.110104023
104	1.108765332
105	1.107541095
106	1.106336043
107	1.105213714
108	1.103893523
109	1.102625767
110	1.101317218
111	1.100092399
112	1.098743805
113	1.09749563
114	1.096269179
115	1.094942461
116	1.093710833
117	1.092368443
118	1.091172262
119	1.089826128
120	1.088537406
121	1.087351655
122	1.086136945
123	1.085049001
124	1.0837486
125	1.082501973
126	1.081411972
127	1.080237604
128	1.079032523
129	1.077839138
130	1.076734823
131	1.075460934
132	1.07418368
133	1.072889708
134	1.071678353
135	1.070413066
136	1.069140826
137	1.06808284
138	1.066965603
139	1.065872159
140	1.064657359
141	1.063363167
142	1.06209867
143	1.061054385
144	1.059839944
145	1.058673665
146	1.057459888
147	1.056362563
148	1.055240155
149	1.054097564
150	1.05292902
151	1.051810394
152	1.050593246
153	1.049408379
154	1.048419879
155	1.047329208
156	1.046174762
157	1.044997781
158	1.043852058
159	1.042667432
160	1.04139566
161	1.040401358
162	1.03928468
163	1.038174408
164	1.03717408
165	1.036183641
166	1.035138901
167	1.034114349
168	1.033057193
169	1.032061848
170	1.030954464
171	1.029822211
172	1.028747645
173	1.027546616
174	1.026435596
175	1.025316475
176	1.024280549
177	1.023066738
178	1.022049529
179	1.020884603
180	1.019690469
181	1.018782462
182	1.017637686
183	1.016535319
184	1.015510863
185	1.014523108
186	1.013318429
187	1.012189178
188	1.011144766
189	1.010052259
190	1.008915457
191	1.007879459
192	1.006736155
193	1.005565117
194	1.004346725
195	1.003390107
196	1.002369731
197	1.001358196
198	1.000123058
199	0.9990694321
200	0.9979675366
201	0.9969727018
202	0.9957968968
203	0.9947196948
204	0.9937865457
205	0.9929125367
206	0.9918263159
207	0.9908286702
208	0.9897467949
209	0.9887264389
210	0.9876607723
211	0.9866935512
212	0.9857795495
213	0.9847630329
214	0.9836233909
