iter	Passed	Remaining
0	3	2775
1	5	2152
2	7	1934
3	9	1846
4	11	1740
5	13	1642
6	14	1577
7	16	1543
8	18	1515
9	19	1477
10	21	1450
11	23	1431
12	25	1418
13	43	2271
14	46	2273
15	49	2256
16	52	2251
17	55	2247
18	58	2248
19	61	2261
20	65	2258
21	68	2271
22	71	2269
23	76	2319
24	80	2324
25	83	2323
26	87	2332
27	92	2382
28	96	2388
29	99	2377
30	101	2347
31	103	2319
32	106	2306
33	108	2291
34	111	2278
35	114	2263
36	116	2238
37	117	2209
38	119	2185
39	121	2164
40	124	2150
41	126	2130
42	129	2135
43	133	2142
44	138	2169
45	141	2165
46	145	2173
47	147	2156
48	150	2146
49	152	2130
50	153	2110
51	155	2093
52	157	2069
53	158	2046
54	160	2023
55	161	2003
56	163	1986
57	165	1969
58	166	1953
59	168	1936
60	170	1922
61	171	1906
62	173	1890
63	174	1875
64	176	1858
65	177	1842
66	179	1827
67	180	1815
68	182	1803
69	184	1790
70	186	1780
71	187	1767
72	189	1757
73	190	1744
74	192	1731
75	193	1718
76	195	1708
77	196	1696
78	198	1684
79	199	1672
80	201	1661
81	202	1651
82	204	1640
83	207	1641
84	212	1659
85	214	1659
86	217	1656
87	219	1653
88	222	1650
89	224	1648
90	226	1639
91	228	1630
92	229	1621
93	230	1611
94	232	1601
95	233	1591
96	235	1584
97	236	1575
98	238	1566
99	239	1558
100	242	1557
101	243	1548
102	245	1539
103	246	1532
104	248	1525
105	250	1519
106	251	1513
107	253	1506
108	254	1499
109	256	1492
110	258	1485
111	259	1477
112	260	1470
113	262	1463
114	263	1456
115	265	1449
116	266	1442
117	268	1436
118	269	1429
119	271	1423
120	272	1417
121	274	1412
122	275	1405
123	277	1399
124	278	1392
125	279	1386
126	281	1380
127	282	1374
128	284	1368
129	285	1362
130	287	1358
131	289	1354
132	290	1349
133	292	1345
134	294	1341
135	295	1335
136	297	1329
137	298	1324
138	300	1319
139	301	1314
140	303	1309
141	304	1303
142	305	1298
143	307	1293
144	308	1288
145	310	1283
146	311	1278
147	314	1277
148	315	1272
149	317	1268
150	318	1263
151	320	1259
152	321	1254
153	323	1250
154	324	1246
155	326	1241
156	327	1237
157	330	1236
158	331	1233
159	333	1231
160	335	1228
161	337	1224
162	339	1221
163	341	1218
164	342	1215
165	344	1211
166	346	1208
167	348	1205
168	349	1202
169	351	1198
170	353	1195
171	354	1192
172	356	1189
173	358	1186
174	360	1183
175	361	1179
176	363	1176
177	365	1172
178	366	1169
179	368	1165
180	369	1161
181	371	1158
182	372	1154
183	374	1151
184	375	1147
185	377	1143
186	378	1139
187	380	1136
188	381	1132
189	383	1128
190	384	1125
191	386	1122
192	387	1119
193	389	1115
194	391	1112
195	392	1109
196	394	1106
197	395	1102
198	396	1099
199	398	1095
200	399	1092
201	401	1088
202	402	1085
203	404	1082
204	405	1078
205	407	1075
206	409	1073
207	410	1069
208	412	1066
209	413	1063
210	414	1060
211	416	1056
212	418	1053
213	419	1050
214	420	1047
215	422	1044
216	423	1041
217	425	1039
218	427	1037
219	429	1034
220	431	1032
221	433	1030
