iter	RMSE
0	3.271746518
1	3.213367871
2	3.14936264
3	3.08982677
4	3.034992509
5	2.980818337
6	2.922314038
7	2.866014113
8	2.819648245
9	2.767862835
10	2.724413222
11	2.674311697
12	2.625126343
13	2.583248283
14	2.533683126
15	2.494095426
16	2.452402274
17	2.411042438
18	2.369931516
19	2.332859774
20	2.292250935
21	2.257633432
22	2.22230579
23	2.187143267
24	2.15476322
25	2.122899447
26	2.090367904
27	2.060970335
28	2.027410729
29	1.997284414
30	1.967225272
31	1.939669035
32	1.911257175
33	1.884184274
34	1.855744831
35	1.829635902
36	1.804963832
37	1.781859258
38	1.760632863
39	1.740134448
40	1.718226247
41	1.697784749
42	1.678980572
43	1.661496284
44	1.64321853
45	1.62360962
46	1.608119955
47	1.590518881
48	1.573466138
49	1.557968526
50	1.541984838
51	1.525547921
52	1.510775238
53	1.497887243
54	1.483892804
55	1.471242602
56	1.458195234
57	1.44580323
58	1.433095602
59	1.419564308
60	1.407602224
61	1.396555826
62	1.385859841
63	1.374236094
64	1.362753441
65	1.353507723
66	1.344014579
67	1.331986896
68	1.322928635
69	1.313407977
70	1.306131787
71	1.296808577
72	1.287735646
73	1.281287572
74	1.273471053
75	1.264580899
76	1.256490912
77	1.247647609
78	1.240940171
79	1.233431427
80	1.227040969
81	1.22042824
82	1.214729355
83	1.208282915
84	1.200613075
85	1.193273197
86	1.188397178
87	1.182636176
88	1.176412683
89	1.171064971
90	1.164996476
91	1.159589633
92	1.154720757
93	1.148816557
94	1.14322185
95	1.138205478
96	1.133094335
97	1.129311012
98	1.125220978
99	1.121056506
100	1.117430184
101	1.113335706
102	1.109119716
103	1.10396837
104	1.09987427
105	1.095856788
106	1.091978242
107	1.08894444
108	1.085115308
109	1.080764578
110	1.076734262
111	1.073696577
112	1.070533193
113	1.066977307
114	1.063125585
115	1.058564897
116	1.055028106
117	1.051040683
118	1.047594917
119	1.043051421
120	1.039979973
121	1.037827517
122	1.033616186
123	1.030930409
124	1.026340968
125	1.023698131
126	1.020485594
127	1.018264791
128	1.016120121
129	1.012617803
130	1.008827283
131	1.006340151
132	1.004192982
133	1.000169019
134	0.997785041
135	0.9952733198
136	0.993384927
137	0.9906268064
138	0.9879217706
139	0.9854544923
140	0.9828771104
141	0.9807567196
142	0.9784358412
143	0.9754544635
144	0.9735816485
145	0.9708117419
146	0.9688297937
147	0.9668658292
148	0.9646995083
149	0.9631849997
150	0.9608662512
151	0.9589059859
152	0.9562919262
153	0.9535990384
154	0.9502492492
155	0.9479019212
156	0.946112671
157	0.9437806539
158	0.9411675343
159	0.9382499456
160	0.9356244574
161	0.9331207422
162	0.9311643307
163	0.9287770097
164	0.926105044
165	0.9238101991
166	0.9221700516
167	0.921319332
168	0.9195586428
169	0.9177883239
170	0.9159000956
171	0.9148502392
172	0.9129205719
173	0.9097662757
174	0.9083449224
175	0.9051607044
176	0.9031469859
177	0.9003638367
178	0.8984869162
179	0.8963549809
180	0.8934378105
181	0.8902230511
182	0.8889336985
183	0.8864972073
184	0.8829576414
185	0.8811803355
186	0.8784770356
187	0.8759014467
188	0.8748601954
189	0.8728514971
190	0.8709495472
191	0.8686601585
192	0.8652557698
193	0.8632027772
194	0.8619256896
195	0.859637232
196	0.8574730426
197	0.855331248
198	0.8533921398
199	0.8518102141
200	0.849334787
201	0.8471027156
202	0.8445934427
203	0.8427846621
204	0.8414709262
205	0.8397565404
206	0.8378884071
207	0.8358460437
208	0.8341739058
209	0.8316461507
