iter	Passed	Remaining
0	52	9430
1	102	9245
2	154	9225
3	205	9153
4	257	9130
5	309	9088
6	361	9044
7	413	8985
8	465	8943
9	517	8902
10	570	8868
11	623	8831
12	676	8790
13	728	8747
14	782	8709
15	843	8751
16	895	8693
17	948	8638
18	1001	8592
19	1055	8546
20	1107	8489
21	1159	8433
22	1212	8380
23	1265	8331
24	1320	8295
25	1375	8253
26	1430	8214
27	1482	8151
28	1536	8103
29	1596	8090
30	1651	8044
31	1704	7991
32	1755	7926
33	1807	7868
34	1860	7815
35	1919	7786
36	1970	7722
37	2022	7664
38	2078	7620
39	2132	7570
40	2185	7515
41	2238	7460
42	2292	7409
43	2344	7353
44	2400	7307
45	2457	7264
46	2511	7215
47	2569	7173
48	2623	7121
49	2679	7072
50	2734	7024
51	2791	6979
52	2847	6930
53	2901	6877
54	2955	6824
55	3012	6778
56	3068	6729
57	3122	6676
58	3177	6624
59	3231	6570
60	3284	6514
61	3344	6474
62	3404	6430
63	3459	6378
64	3510	6319
65	3564	6264
66	3619	6212
67	3674	6160
68	3731	6111
69	3784	6055
70	3836	5998
71	3890	5943
72	3945	5891
73	4000	5838
74	4055	5785
75	4109	5731
76	4165	5680
77	4222	5629
78	4273	5572
79	4326	5516
80	4378	5459
81	4432	5405
82	4487	5352
83	4539	5296
84	4593	5242
85	4650	5191
86	4704	5136
87	4755	5080
88	4807	5023
89	4859	4967
90	4915	4915
91	4967	4859
92	5019	4803
93	5071	4748
94	5131	4699
95	5184	4644
96	5241	4592
97	5291	4535
98	5344	4480
99	5394	4423
100	5445	4367
101	5512	4323
102	5564	4267
103	5618	4214
104	5642	4137
105	5698	4085
106	5751	4031
107	5805	3977
108	5858	3923
109	5910	3868
110	5964	3814
111	6021	3763
112	6082	3713
113	6139	3662
114	6193	3608
115	6248	3555
116	6301	3500
117	6358	3448
118	6410	3393
119	6464	3339
120	6519	3286
121	6572	3232
122	6626	3178
123	6677	3123
124	6729	3068
125	6781	3013
126	6843	2963
127	6905	2913
128	6962	2860
129	7014	2805
130	7074	2754
131	7127	2699
132	7182	2646
133	7234	2591
134	7287	2536
135	7346	2484
136	7411	2434
137	7465	2380
138	7519	2326
139	7575	2272
140	7629	2218
141	7681	2163
142	7735	2109
143	7793	2056
144	7849	2002
145	7905	1949
146	7962	1895
147	8024	1843
148	8080	1789
149	8136	1735
150	8191	1681
151	8245	1627
152	8301	1573
153	8357	1519
154	8412	1465
155	8468	1411
156	8522	1357
157	8575	1302
158	8628	1248
159	8684	1194
160	8738	1139
161	8790	1085
162	8843	1030
163	8898	976
164	8954	922
165	9009	868
166	9061	813
167	9116	759
168	9176	705
169	9232	651
170	9292	597
171	9352	543
172	9408	489
173	9460	434
174	9510	380
175	9561	325
176	9620	271
177	9671	217
178	9727	163
179	9783	108
180	9835	54
181	9889	0
