iter	Passed	Remaining
0	8	3107
1	15	2625
2	22	2593
3	28	2454
4	39	2748
5	47	2726
6	56	2746
7	64	2737
8	71	2725
9	83	2825
10	95	2938
11	109	3088
12	117	3057
13	130	3130
14	138	3095
15	150	3137
16	160	3144
17	171	3156
18	182	3179
19	188	3109
20	195	3063
21	202	3020
22	210	2993
23	217	2950
24	226	2941
25	234	2916
26	245	2941
27	252	2903
28	260	2883
29	267	2857
30	276	2847
31	284	2826
32	293	2818
33	300	2794
34	308	2775
35	315	2754
36	325	2757
37	335	2751
38	345	2757
39	352	2735
40	360	2719
41	367	2697
42	379	2706
43	387	2692
44	393	2667
45	401	2653
46	408	2632
47	416	2620
48	423	2604
49	434	2608
50	443	2601
51	452	2591
52	460	2580
53	467	2562
54	478	2565
55	485	2547
56	492	2530
57	500	2518
58	507	2501
59	513	2482
60	524	2482
61	532	2471
62	539	2459
63	548	2450
64	556	2439
65	564	2430
66	574	2427
67	584	2425
68	591	2409
69	599	2398
70	608	2392
71	617	2383
72	624	2369
73	632	2359
74	640	2350
75	649	2341
76	657	2332
77	664	2316
78	674	2314
79	683	2306
80	691	2296
81	698	2282
82	707	2275
83	719	2277
84	727	2269
85	734	2254
86	743	2247
87	751	2236
88	760	2229
89	768	2221
90	778	2214
91	787	2207
92	793	2193
93	801	2181
94	810	2175
95	817	2163
96	825	2152
97	832	2140
98	839	2129
99	846	2117
100	855	2109
101	864	2101
102	875	2098
103	880	2083
104	887	2071
105	894	2058
106	901	2047
107	908	2035
108	918	2029
109	924	2016
110	931	2005
111	939	1995
112	946	1985
113	953	1974
114	964	1970
115	972	1961
116	979	1951
117	989	1944
118	995	1932
119	1005	1926
120	1012	1915
121	1017	1902
122	1024	1890
123	1032	1881
124	1037	1866
125	1043	1854
126	1053	1849
127	1060	1838
128	1065	1824
129	1072	1814
130	1079	1805
131	1084	1791
132	1102	1798
133	1109	1789
134	1116	1778
135	1123	1768
136	1132	1759
137	1140	1752
138	1148	1743
139	1160	1740
140	1167	1731
141	1175	1721
142	1182	1711
143	1189	1702
144	1198	1695
145	1206	1686
146	1214	1676
147	1221	1667
148	1228	1657
149	1234	1646
150	1243	1638
151	1251	1629
152	1258	1620
153	1264	1609
154	1271	1600
155	1278	1589
156	1285	1580
157	1295	1574
158	1303	1565
159	1311	1556
160	1318	1547
161	1325	1538
162	1332	1528
163	1339	1519
164	1346	1510
165	1356	1503
166	1363	1494
167	1370	1485
168	1377	1475
169	1385	1466
170	1391	1456
171	1402	1451
172	1408	1441
173	1415	1431
174	1422	1422
175	1429	1413
176	1436	1403
177	1446	1397
178	1454	1389
179	1460	1379
180	1465	1368
181	1473	1359
182	1478	1349
183	1486	1340
184	1494	1333
185	1503	1325
186	1512	1318
187	1519	1309
188	1526	1300
189	1533	1291
190	1545	1286
191	1552	1277
192	1557	1267
193	1565	1258
194	1572	1249
195	1583	1243
196	1590	1235
197	1595	1225
198	1601	1215
199	1609	1207
200	1616	1198
201	1623	1189
202	1629	1180
203	1636	1171
204	1646	1164
205	1654	1156
206	1660	1147
207	1666	1137
208	1673	1128
209	1680	1120
210	1687	1111
211	1695	1103
212	1702	1095
213	1709	1086
214	1716	1077
215	1723	1068
216	1731	1061
217	1736	1051
218	1742	1042
219	1750	1034
220	1756	1025
221	1764	1017
222	1771	1009
223	1780	1001
224	1786	992
225	1792	983
226	1799	975
227	1806	966
228	1812	957
229	1819	949
230	1826	940
231	1832	931
232	1842	925
233	1849	916
234	1855	907
235	1861	899
236	1868	890
237	1873	881
238	1883	874
239	1889	866
240	1895	857
241	1902	848
242	1908	840
243	1915	832
244	1922	823
245	1929	815
246	1937	807
247	1943	799
248	1950	791
249	1957	782
250	1964	774
251	1972	767
252	1979	758
253	1986	750
254	1993	742
255	1998	733
256	2005	725
257	2010	716
258	2021	710
259	2027	701
260	2034	693
261	2041	685
262	2046	677
263	2052	668
264	2058	660
265	2065	652
266	2070	643
267	2080	636
268	2086	628
269	2092	619
270	2098	611
271	2104	603
272	2112	595
273	2118	587
274	2128	580
275	2134	572
276	2141	564
277	2147	556
278	2152	547
279	2160	540
280	2167	532
281	2176	524
282	2183	517
283	2189	508
284	2194	500
285	2200	492
286	2206	484
287	2216	477
288	2223	469
289	2229	461
290	2236	453
291	2244	445
292	2251	437
293	2257	429
294	2262	421
295	2268	413
296	2276	406
297	2281	398
298	2288	390
299	2294	382
300	2300	374
301	2306	366
302	2311	358
303	2318	350
304	2326	343
305	2332	335
306	2338	327
307	2344	319
308	2349	311
309	2355	303
310	2360	296
311	2368	288
312	2377	281
313	2384	273
314	2390	265
315	2397	257
316	2403	250
317	2411	242
318	2419	235
319	2425	227
320	2430	219
321	2437	211
322	2443	204
323	2450	196
324	2456	188
325	2472	182
326	2477	174
327	2485	166
328	2491	159
329	2495	151
330	2502	143
331	2508	136
332	2519	128
333	2525	120
334	2531	113
335	2537	105
336	2543	98
337	2548	90
338	2553	82
339	2561	75
340	2568	67
341	2575	60
342	2582	52
343	2588	45
344	2594	37
345	2599	30
346	2607	22
347	2614	15
348	2620	7
349	2627	0
